Individual	ASIR	Hybrid_Classification	Sample_Group	Lifestage	Comment	Hybrid_Generation	Hybrid_Generation2	River_Mile		SL	TL
XtexW20SJR_0155		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0155	431	500
XtexW20SJR_0156		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0156	450	521
XtexW20SJR_0157		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0157	388	455
XtexW20SJR_0158		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0158	439	509
XtexW20SJR_0159		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0159	418	486
XtexW20SJR_0160		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0160	448	518
XtexW20SJR_0161		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0161	518	593
XtexW20SJR_0162		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0162	469	541
XtexW20SJR_0163		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0163	425	494
XtexW20SJR_0164		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0164	455	526
XtexW20SJR_0165		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0165	416	484
XtexW20SJR_0166		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0166	437	507
XtexW20SJR_0167		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0167	423	492
XtexW20SJR_0168		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0168	445	515
XtexW20SJR_0169		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0169	418	486
XtexW20SJR_0170		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0170	462	533
XtexW20SJR_0171		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0171	403	470
XtexW20SJR_0172		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0172	438	508
XtexW20SJR_0173		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0173	426	495
XtexW20SJR_0174		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0174	440	510
XtexW20SJR_0175		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0175	459	530
XtexW20SJR_0176		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0176	440	510
XtexW20SJR_0177		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0177	478	550
XtexW20SJR_0178		Xtex_X_XtexBx	XtexW20SJR_ADULT	ADULT		3	3		XtexW20SJR_0178	496	569
XtexW20SJR_0179		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0179	419	487
XtexW20SJR_0180		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0180	468	540
XtexW20SJR_0181		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0181	496	569
XtexW20SJR_0182		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0182	420	489
XtexW20SJR_0183		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0183	532	608
XtexW20SJR_0184		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0184	434	503
XtexW20SJR_0185		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0185	425	494
XtexW20SJR_0187		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0187	436	506
XtexW20SJR_0188		RBS	XtexW20SJR_ADULT	ADULT		0	RBS		XtexW20SJR_0188	434	503
