param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_228_pop_0,0.502444,0.502412,0.497922,0.507132
q_ind_229_pop_0,0.495062,0.495050,0.488596,0.501479
q_ind_230_pop_0,0.498225,0.498227,0.493414,0.503132
q_ind_231_pop_0,0.502277,0.502306,0.498128,0.506320
q_ind_232_pop_0,0.500736,0.500727,0.495395,0.506134
q_ind_233_pop_0,0.498180,0.498217,0.494041,0.502185
q_ind_234_pop_0,0.500534,0.500552,0.495821,0.505192
q_ind_235_pop_0,0.497350,0.497362,0.493514,0.501176
q_ind_236_pop_0,0.510857,0.510810,0.505775,0.516165
q_ind_237_pop_0,0.999898,0.999996,0.999230,1.000000
q_ind_238_pop_0,0.505599,0.505612,0.499127,0.511979
q_ind_239_pop_0,0.502666,0.502644,0.497938,0.507656
q_ind_240_pop_0,0.442547,0.442502,0.434647,0.450658
q_ind_241_pop_0,0.499789,0.499786,0.495868,0.503703
q_ind_242_pop_0,0.504007,0.503982,0.498632,0.509525
q_ind_243_pop_0,0.500277,0.500211,0.494481,0.506269
q_ind_244_pop_0,0.501828,0.501823,0.497551,0.506473
q_ind_245_pop_0,0.511368,0.511396,0.504699,0.518193
q_ind_246_pop_0,0.499968,0.499994,0.496116,0.503853
q_ind_247_pop_0,0.500790,0.500774,0.496579,0.504953
q_ind_248_pop_0,0.501096,0.501084,0.495982,0.506325
q_ind_249_pop_0,0.501391,0.501403,0.495678,0.506993
q_ind_250_pop_0,0.501255,0.501262,0.496558,0.505837
q_ind_251_pop_0,0.509925,0.509904,0.504721,0.515327
q_ind_252_pop_0,0.510014,0.510033,0.502913,0.517289
q_ind_253_pop_0,0.499494,0.499497,0.495585,0.503379
q_ind_254_pop_0,0.490381,0.490370,0.484859,0.495850
q_ind_255_pop_0,0.497380,0.497387,0.493507,0.501231
q_ind_256_pop_0,0.502911,0.502885,0.498962,0.506958
q_ind_257_pop_0,0.498604,0.498593,0.494277,0.502978
q_ind_258_pop_0,0.494672,0.494695,0.490908,0.498335
q_ind_259_pop_0,0.497723,0.497737,0.493638,0.501729
q_ind_260_pop_0,0.495380,0.495393,0.490512,0.500277
q_ind_261_pop_0,0.505289,0.505315,0.497833,0.512763
q_ind_262_pop_0,0.498067,0.498077,0.493742,0.502327
q_ind_263_pop_0,0.504236,0.504201,0.498306,0.510316
q_ind_264_pop_0,0.501550,0.501511,0.495680,0.507586
q_ind_265_pop_0,0.497253,0.497279,0.492759,0.501647
q_ind_266_pop_0,0.501435,0.501395,0.497518,0.505347
q_ind_267_pop_0,0.506873,0.506853,0.502143,0.511665
q_ind_268_pop_0,0.500212,0.500192,0.495813,0.504804
q_ind_269_pop_0,0.512086,0.512040,0.504650,0.519664
q_ind_270_pop_0,0.498715,0.498696,0.493682,0.503825
q_ind_271_pop_0,0.497150,0.497122,0.492621,0.501781
q_ind_272_pop_0,0.500986,0.500976,0.496970,0.505166
