param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_380_anc_1-1,0.043322,0.043116,0.033477,0.054301
Q_ind_381_anc_1-1,0.996367,0.996513,0.993227,0.998661
Q_ind_382_anc_1-1,0.992261,0.992409,0.988051,0.995654
Q_ind_383_anc_1-1,0.973119,0.973231,0.965229,0.980519
Q_ind_384_anc_1-1,0.918149,0.918248,0.906592,0.929048
Q_ind_385_anc_1-1,0.017071,0.016939,0.010699,0.024275
Q_ind_386_anc_1-1,0.046648,0.046532,0.036940,0.057331
Q_ind_387_anc_1-1,0.007349,0.007152,0.003114,0.012628
Q_ind_388_anc_1-1,0.013619,0.013448,0.008253,0.020035
Q_ind_389_anc_1-1,0.008566,0.008417,0.004295,0.013772
Q_ind_390_anc_1-1,0.020494,0.020332,0.013244,0.028574
Q_ind_391_anc_1-1,0.012514,0.012321,0.006951,0.018908
Q_ind_392_anc_1-1,0.024900,0.024731,0.017210,0.033629
Q_ind_393_anc_1-1,0.011866,0.011703,0.006372,0.018399
Q_ind_394_anc_1-1,0.010124,0.009893,0.005394,0.016049
Q_ind_395_anc_1-1,0.030637,0.030510,0.022022,0.040214
Q_ind_396_anc_1-1,0.010529,0.010368,0.005481,0.016657
