param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_215_anc_1-1,0.999984,1.000000,0.999821,1.000000
Q_ind_216_anc_1-1,0.999983,1.000000,0.999800,1.000000
Q_ind_217_anc_1-1,0.999974,1.000000,0.999687,1.000000
Q_ind_1_anc_2-1,0.000009,0.000000,0.000000,0.000090
Q_ind_2_anc_2-1,0.000009,0.000000,0.000000,0.000092
Q_ind_3_anc_2-1,0.000011,0.000000,0.000000,0.000121
Q_ind_4_anc_2-1,0.000034,0.000000,0.000000,0.000457
Q_ind_5_anc_2-1,0.000024,0.000000,0.000000,0.000285
Q_ind_6_anc_2-1,0.000013,0.000000,0.000000,0.000128
Q_ind_7_anc_2-1,0.000046,0.000000,0.000000,0.000610
Q_ind_8_anc_2-1,0.000035,0.000000,0.000000,0.000469
Q_ind_9_anc_2-1,0.000011,0.000000,0.000000,0.000114
Q_ind_10_anc_2-1,0.000013,0.000000,0.000000,0.000132
Q_ind_11_anc_2-1,0.000025,0.000000,0.000000,0.000307
Q_ind_12_anc_2-1,0.000141,0.000000,0.000000,0.001684
Q_ind_13_anc_2-1,0.000014,0.000000,0.000000,0.000137
Q_ind_14_anc_2-1,0.000016,0.000000,0.000000,0.000167
Q_ind_15_anc_2-1,0.000589,0.000000,0.000000,0.003750
Q_ind_16_anc_2-1,0.000025,0.000000,0.000000,0.000311
Q_ind_17_anc_2-1,0.000010,0.000000,0.000000,0.000119
Q_ind_18_anc_2-1,0.000030,0.000000,0.000000,0.000385
Q_ind_19_anc_2-1,0.000018,0.000000,0.000000,0.000191
Q_ind_20_anc_2-1,0.000019,0.000000,0.000000,0.000220
Q_ind_21_anc_2-1,0.000013,0.000000,0.000000,0.000147
Q_ind_22_anc_2-1,0.000017,0.000000,0.000000,0.000182
Q_ind_23_anc_2-1,0.000009,0.000000,0.000000,0.000082
Q_ind_24_anc_2-1,0.000008,0.000000,0.000000,0.000069
Q_ind_25_anc_2-1,0.000020,0.000000,0.000000,0.000235
Q_ind_26_anc_2-1,0.000014,0.000000,0.000000,0.000149
Q_ind_27_anc_2-1,0.000017,0.000000,0.000000,0.000213
Q_ind_28_anc_2-1,0.000015,0.000000,0.000000,0.000155
Q_ind_29_anc_2-1,0.000019,0.000000,0.000000,0.000222
Q_ind_30_anc_2-1,0.000010,0.000000,0.000000,0.000091
Q_ind_31_anc_2-1,0.000008,0.000000,0.000000,0.000066
