param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_173_pop_0,0.999986,1.000000,0.999842,1.000000
q_ind_174_pop_0,0.999987,1.000000,0.999840,1.000000
q_ind_175_pop_0,0.999986,1.000000,0.999845,1.000000
q_ind_176_pop_0,0.999979,1.000000,0.999763,1.000000
q_ind_177_pop_0,0.999980,1.000000,0.999784,1.000000
q_ind_178_pop_0,0.999990,1.000000,0.999887,1.000000
q_ind_179_pop_0,0.999977,1.000000,0.999741,1.000000
q_ind_180_pop_0,0.999949,1.000000,0.999390,1.000000
q_ind_181_pop_0,0.999983,1.000000,0.999806,1.000000
q_ind_182_pop_0,0.999987,1.000000,0.999853,1.000000
q_ind_183_pop_0,0.999990,1.000000,0.999886,1.000000
q_ind_184_pop_0,0.999985,1.000000,0.999814,1.000000
q_ind_185_pop_0,0.999985,1.000000,0.999829,1.000000
q_ind_186_pop_0,0.999987,1.000000,0.999842,1.000000
q_ind_187_pop_0,0.999990,1.000000,0.999879,1.000000
q_ind_188_pop_0,0.999990,1.000000,0.999881,1.000000
q_ind_189_pop_0,0.999990,1.000000,0.999895,1.000000
q_ind_190_pop_0,0.999986,1.000000,0.999835,1.000000
q_ind_191_pop_0,0.999987,1.000000,0.999851,1.000000
q_ind_192_pop_0,0.002417,0.002303,0.000959,0.004504
q_ind_193_pop_0,0.999985,1.000000,0.999826,1.000000
q_ind_194_pop_0,0.999984,1.000000,0.999824,1.000000
q_ind_195_pop_0,0.999990,1.000000,0.999883,1.000000
q_ind_196_pop_0,0.999980,1.000000,0.999780,1.000000
q_ind_197_pop_0,0.000997,0.000864,0.000000,0.002829
q_ind_198_pop_0,0.000015,0.000000,0.000000,0.000172
q_ind_199_pop_0,0.999989,1.000000,0.999883,1.000000
q_ind_200_pop_0,0.999979,1.000000,0.999759,1.000000
q_ind_201_pop_0,0.999971,1.000000,0.999658,1.000000
q_ind_202_pop_0,0.999989,1.000000,0.999879,1.000000
q_ind_203_pop_0,0.999988,1.000000,0.999867,1.000000
q_ind_204_pop_0,0.816504,0.816520,0.806046,0.827094
q_ind_205_pop_0,0.999988,1.000000,0.999859,1.000000
q_ind_206_pop_0,0.999966,1.000000,0.999616,1.000000
q_ind_207_pop_0,0.999985,1.000000,0.999835,1.000000
q_ind_208_pop_0,0.999989,1.000000,0.999883,1.000000
q_ind_209_pop_0,0.563580,0.563654,0.552302,0.575157
q_ind_210_pop_0,0.999990,1.000000,0.999892,1.000000
q_ind_211_pop_0,0.999989,1.000000,0.999877,1.000000
q_ind_212_pop_0,0.999989,1.000000,0.999888,1.000000
q_ind_213_pop_0,0.999984,1.000000,0.999850,1.000000
q_ind_214_pop_0,0.999989,1.000000,0.999877,1.000000
q_ind_215_pop_0,0.999988,1.000000,0.999857,1.000000
q_ind_216_pop_0,0.999982,1.000000,0.999802,1.000000
q_ind_0_pop_1,0.999988,1.000000,0.999854,1.000000
q_ind_1_pop_1,0.999988,1.000000,0.999870,1.000000
q_ind_2_pop_1,0.999851,1.000000,0.998837,1.000000
q_ind_3_pop_1,0.994873,0.994973,0.991905,0.997219
q_ind_4_pop_1,0.992138,0.992262,0.988382,0.995290
q_ind_5_pop_1,0.995798,0.995914,0.993052,0.997932
q_ind_6_pop_1,0.995052,0.995148,0.992188,0.997400
q_ind_7_pop_1,0.995610,0.995732,0.992751,0.997757
q_ind_8_pop_1,0.995550,0.995680,0.992798,0.997673
q_ind_9_pop_1,0.996189,0.996288,0.993502,0.998189
q_ind_10_pop_1,0.991508,0.991638,0.987866,0.994559
q_ind_11_pop_1,0.995745,0.995853,0.993140,0.997819
q_ind_12_pop_1,0.997771,0.997901,0.995552,0.999290
q_ind_13_pop_1,0.996590,0.996721,0.994029,0.998479
q_ind_14_pop_1,0.991048,0.991166,0.986908,0.994459
q_ind_15_pop_1,0.995904,0.996000,0.993187,0.997967
q_ind_16_pop_1,0.999828,1.000000,0.998737,1.000000
q_ind_17_pop_1,0.994274,0.994393,0.990955,0.996902
q_ind_18_pop_1,0.996439,0.996537,0.993857,0.998368
q_ind_19_pop_1,0.996173,0.996280,0.993755,0.998074
q_ind_20_pop_1,0.997595,0.997711,0.995547,0.999050
q_ind_21_pop_1,0.998205,0.998332,0.996150,0.999503
q_ind_22_pop_1,0.997146,0.997258,0.994905,0.998756
q_ind_23_pop_1,0.998135,0.998254,0.996275,0.999379
q_ind_24_pop_1,0.997274,0.997402,0.995125,0.998778
q_ind_25_pop_1,0.997926,0.998031,0.995968,0.999246
q_ind_26_pop_1,0.995062,0.995209,0.992144,0.997312
q_ind_27_pop_1,0.994281,0.994400,0.990897,0.996957
q_ind_28_pop_1,0.998715,0.998841,0.996857,0.999860
q_ind_29_pop_1,0.998730,0.998847,0.996991,0.999772
q_ind_30_pop_1,0.000010,0.000000,0.000000,0.000106
q_ind_31_pop_1,0.000010,0.000000,0.000000,0.000118
q_ind_32_pop_1,0.000010,0.000000,0.000000,0.000108
q_ind_33_pop_1,0.000015,0.000000,0.000000,0.000171
q_ind_34_pop_1,0.000012,0.000000,0.000000,0.000129
q_ind_35_pop_1,0.000010,0.000000,0.000000,0.000104
q_ind_36_pop_1,0.000010,0.000000,0.000000,0.000105
q_ind_37_pop_1,0.000010,0.000000,0.000000,0.000111
q_ind_38_pop_1,0.000015,0.000000,0.000000,0.000163
q_ind_39_pop_1,0.000075,0.000000,0.000000,0.000646
q_ind_40_pop_1,0.000010,0.000000,0.000000,0.000119
q_ind_41_pop_1,0.000011,0.000000,0.000000,0.000120
q_ind_42_pop_1,0.000010,0.000000,0.000000,0.000112
q_ind_43_pop_1,0.000010,0.000000,0.000000,0.000108
q_ind_44_pop_1,0.000013,0.000000,0.000000,0.000147
q_ind_45_pop_1,0.000017,0.000000,0.000000,0.000195
q_ind_46_pop_1,0.000009,0.000000,0.000000,0.000097
q_ind_47_pop_1,0.000012,0.000000,0.000000,0.000138
q_ind_48_pop_1,0.000017,0.000000,0.000000,0.000192
q_ind_49_pop_1,0.000011,0.000000,0.000000,0.000120
q_ind_50_pop_1,0.000019,0.000000,0.000000,0.000233
q_ind_51_pop_1,0.000011,0.000000,0.000000,0.000118
q_ind_52_pop_1,0.000011,0.000000,0.000000,0.000129
q_ind_53_pop_1,0.000013,0.000000,0.000000,0.000130
q_ind_54_pop_1,0.000020,0.000000,0.000000,0.000225
q_ind_55_pop_1,0.000014,0.000000,0.000000,0.000159
q_ind_56_pop_1,0.000009,0.000000,0.000000,0.000096
q_ind_57_pop_1,0.000012,0.000000,0.000000,0.000134
q_ind_58_pop_1,0.000024,0.000000,0.000000,0.000272
q_ind_59_pop_1,0.000012,0.000000,0.000000,0.000139
q_ind_60_pop_1,0.996605,0.996739,0.993955,0.998497
q_ind_61_pop_1,0.999965,1.000000,0.999597,1.000000
q_ind_62_pop_1,0.999987,1.000000,0.999852,1.000000
q_ind_63_pop_1,0.999924,1.000000,0.999307,1.000000
q_ind_64_pop_1,0.999986,1.000000,0.999856,1.000000
q_ind_65_pop_1,0.999943,1.000000,0.999409,1.000000
q_ind_66_pop_1,0.999983,1.000000,0.999797,1.000000
q_ind_67_pop_1,0.999983,1.000000,0.999816,1.000000
q_ind_68_pop_1,0.999987,1.000000,0.999856,1.000000
q_ind_69_pop_1,0.999907,1.000000,0.999180,1.000000
q_ind_70_pop_1,0.999027,0.999138,0.997627,0.999829
q_ind_71_pop_1,0.999954,1.000000,0.999481,1.000000
q_ind_72_pop_1,0.999340,0.999455,0.997918,1.000000
q_ind_73_pop_1,0.999953,1.000000,0.999420,1.000000
q_ind_74_pop_1,0.997273,0.997386,0.994980,0.998911
q_ind_75_pop_1,0.990249,0.990337,0.986354,0.993583
q_ind_76_pop_1,0.998792,0.998914,0.997152,0.999766
q_ind_77_pop_1,0.946981,0.947075,0.939653,0.953957
q_ind_78_pop_1,0.980051,0.980161,0.974914,0.984666
q_ind_79_pop_1,0.999521,0.999692,0.998079,1.000000
q_ind_80_pop_1,0.999389,0.999498,0.998088,1.000000
q_ind_81_pop_1,0.990760,0.990875,0.986850,0.994118
q_ind_82_pop_1,0.995301,0.995422,0.992348,0.997653
q_ind_83_pop_1,0.997820,0.997944,0.995676,0.999318
q_ind_84_pop_1,0.000011,0.000000,0.000000,0.000112
q_ind_85_pop_1,0.989720,0.989807,0.985441,0.993385
q_ind_86_pop_1,0.996320,0.996436,0.993645,0.998305
q_ind_87_pop_1,0.998893,0.999003,0.997327,0.999819
q_ind_88_pop_1,0.996198,0.996325,0.993364,0.998324
q_ind_89_pop_1,0.998165,0.998280,0.996120,0.999493
q_ind_90_pop_1,0.988076,0.988166,0.983487,0.992176
q_ind_91_pop_1,0.000010,0.000000,0.000000,0.000121
q_ind_92_pop_1,0.039216,0.039155,0.033605,0.045301
q_ind_93_pop_1,0.003352,0.003280,0.001870,0.005256
q_ind_94_pop_1,0.000050,0.000000,0.000000,0.000521
q_ind_95_pop_1,0.000011,0.000000,0.000000,0.000123
q_ind_96_pop_1,0.000019,0.000000,0.000000,0.000225
q_ind_97_pop_1,0.000449,0.000279,0.000000,0.001704
q_ind_98_pop_1,0.001877,0.001790,0.000504,0.003711
q_ind_99_pop_1,0.000012,0.000000,0.000000,0.000129
q_ind_100_pop_1,0.000011,0.000000,0.000000,0.000124
q_ind_101_pop_1,0.000014,0.000000,0.000000,0.000158
q_ind_102_pop_1,0.000020,0.000000,0.000000,0.000220
q_ind_103_pop_1,0.000012,0.000000,0.000000,0.000132
q_ind_104_pop_1,0.000011,0.000000,0.000000,0.000115
q_ind_105_pop_1,0.000013,0.000000,0.000000,0.000150
q_ind_106_pop_1,0.000010,0.000000,0.000000,0.000103
q_ind_107_pop_1,0.000010,0.000000,0.000000,0.000108
q_ind_108_pop_1,0.000015,0.000000,0.000000,0.000178
q_ind_109_pop_1,0.000012,0.000000,0.000000,0.000121
q_ind_110_pop_1,0.000101,0.000000,0.000000,0.000713
q_ind_111_pop_1,0.000011,0.000000,0.000000,0.000108
q_ind_112_pop_1,0.000012,0.000000,0.000000,0.000134
q_ind_113_pop_1,0.000013,0.000000,0.000000,0.000157
q_ind_114_pop_1,0.000010,0.000000,0.000000,0.000118
q_ind_115_pop_1,0.000405,0.000286,0.000000,0.001467
q_ind_116_pop_1,0.000144,0.000000,0.000000,0.001227
q_ind_117_pop_1,0.000011,0.000000,0.000000,0.000136
q_ind_118_pop_1,0.000021,0.000000,0.000000,0.000247
q_ind_119_pop_1,0.000010,0.000000,0.000000,0.000106
q_ind_120_pop_1,0.004400,0.004352,0.002800,0.006362
q_ind_121_pop_1,0.000018,0.000000,0.000000,0.000193
q_ind_122_pop_1,0.000017,0.000000,0.000000,0.000192
q_ind_123_pop_1,0.000014,0.000000,0.000000,0.000164
q_ind_124_pop_1,0.000096,0.000000,0.000000,0.000740
q_ind_125_pop_1,0.000010,0.000000,0.000000,0.000109
q_ind_126_pop_1,0.000010,0.000000,0.000000,0.000110
q_ind_127_pop_1,0.968499,0.968582,0.962484,0.974123
q_ind_128_pop_1,0.000013,0.000000,0.000000,0.000137
q_ind_129_pop_1,0.000055,0.000000,0.000000,0.000541
q_ind_130_pop_1,0.000094,0.000000,0.000000,0.000755
q_ind_131_pop_1,0.992414,0.992512,0.989102,0.995173
q_ind_132_pop_1,0.000018,0.000000,0.000000,0.000190
q_ind_133_pop_1,0.000010,0.000000,0.000000,0.000125
q_ind_134_pop_1,0.994232,0.994308,0.991113,0.996826
q_ind_135_pop_1,0.000016,0.000000,0.000000,0.000192
q_ind_136_pop_1,0.992659,0.992785,0.989096,0.995625
q_ind_137_pop_1,0.000010,0.000000,0.000000,0.000110
q_ind_138_pop_1,0.996085,0.996195,0.993299,0.998247
q_ind_139_pop_1,0.987470,0.987563,0.983184,0.991182
q_ind_140_pop_1,0.995279,0.995403,0.992345,0.997524
q_ind_141_pop_1,0.000019,0.000000,0.000000,0.000207
q_ind_142_pop_1,0.000013,0.000000,0.000000,0.000144
q_ind_143_pop_1,0.000013,0.000000,0.000000,0.000141
q_ind_144_pop_1,0.000011,0.000000,0.000000,0.000118
q_ind_145_pop_1,0.000011,0.000000,0.000000,0.000118
q_ind_146_pop_1,0.000009,0.000000,0.000000,0.000105
q_ind_147_pop_1,0.000024,0.000000,0.000000,0.000274
q_ind_148_pop_1,0.000011,0.000000,0.000000,0.000121
q_ind_149_pop_1,0.000011,0.000000,0.000000,0.000128
q_ind_150_pop_1,0.000010,0.000000,0.000000,0.000104
q_ind_151_pop_1,0.000010,0.000000,0.000000,0.000113
q_ind_152_pop_1,0.000011,0.000000,0.000000,0.000133
q_ind_153_pop_1,0.000010,0.000000,0.000000,0.000118
q_ind_154_pop_1,0.000014,0.000000,0.000000,0.000161
q_ind_155_pop_1,0.000598,0.000002,0.000000,0.003298
q_ind_156_pop_1,0.000017,0.000000,0.000000,0.000213
q_ind_157_pop_1,0.000009,0.000000,0.000000,0.000108
q_ind_158_pop_1,0.000009,0.000000,0.000000,0.000117
q_ind_159_pop_1,0.000011,0.000000,0.000000,0.000117
q_ind_160_pop_1,0.000017,0.000000,0.000000,0.000196
q_ind_161_pop_1,0.000014,0.000000,0.000000,0.000153
q_ind_162_pop_1,0.000012,0.000000,0.000000,0.000132
q_ind_163_pop_1,0.000010,0.000000,0.000000,0.000111
